query,gold_answer,source_file,parser_type,field
"""供电企业向用户受电工程提供服务不规范"" 的监管依据是什么？",电力监管机构对供电企业向用户受电工程提供服务的情况实施监管。《供电监管办法》第12条、第34条,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""供电企业向用户受电工程提供服务不规范"" 的问题描述是什么？",对用户受电工程进行中间检查和竣工检验未规范执行国家、行业有关标准；发现用户受电设施存在故障隐患未一次性书面告知用户并指导其予以消除；发现用户受电设施存在严重威胁电力系统安全运行和人身安全的隐患时，未能指导帮助其立即消除。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""供电企业实施停电、限电或者中止供电不规范"" 的印证资料包括哪些？",（1）关于印发jz市2024年迎峰度冬有序用电方案的通知； （2）关于印发jz市2025年迎峰度冬负荷管理方案的通知； （3）停电通告； （4）停电通知单。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""供电企业实施停电、限电或者中止供电不规范"" 的整改措施是什么？",按照先错峰、后避峰、再限电以及“六保五限”的原则制定方案，不得在有序用电方案中滥用限电措施。有序用电方案印发后应及时告知用户，并组织开展演练，对用户实施变更、取消有序用电措施前，通过公告、电话、传真等方式履行告知义务。严格停电操作规范性和复电效率，对于停电管理按《供电营业规则》要求，停电前三至七日内将停电通知书送达用户，及时准确通知用户。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""供电企业实施停电、限电或者中止供电不规范"" 的监管依据是什么？",电力监管机构对供电企业实施停电、限电或者中止供电的情况。《供电监管办法》第13、第34条,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""供电企业实施停电、限电或者中止供电不规范"" 的问题描述是什么？",有序用电方案报电力主管部门审批不及时，事前告知用户不到位；对因电网发生故障或者电力供需紧张等原因需要停电、限电的，未按电力主管批准的有序用电方案或者事故应急处置方案规范执行。对重要电力用户实施停电、限电、中止供电或者恢复供电未按照国家有关规定执行。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""供电投诉举报处理时效和处理质量不高"" 的印证资料包括哪些？",（1）12398、95598投诉清单，投诉调查分析报告、整改闭环及考核落实的印证资料。 （2）《GWjz供电公司关于印发供电服务考核规范（试行）的通知》。 （3）《GWjz供电公司关于提升供电投诉举报处理质效的工作方案》等。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""供电投诉举报处理时效和处理质量不高"" 的整改措施是什么？",编制下发《GWjz供电公司关于提升供电投诉举报处理质效的工作方案》，建立专业协同“大服务”管控体系，明确投诉举报处理职责分工和时限要求，构建分级管控、流程规范的服务质量管理机制，要求对投诉举报属实问题限期整改，考核责任落实到位，确保投诉举报事项闭环管理，推动服务问题根本解决，切实提升客户满意度。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""供电投诉举报处理时效和处理质量不高"" 的监管依据是什么？",电力监管机构对供电企业处理用电投诉的情况实施监管。《供电监管办法》第16条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""供电投诉举报处理时效和处理质量不高"" 的问题描述是什么？",部分单位对客户供电投诉举报响应不及时，整改进度较慢，投诉处理满意率不高。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""供电能力和可靠性有待提升"" 的印证资料包括哪些？",（1）供电可靠性指标分析报告（区分城网/农网）； （2）供电可靠性系统导出的停电事件明细表； （3）日、周、月度故障停运通报材料； （4）季度、半年、年度、迎峰度夏、迎峰度冬配网运行分析报告； （5）《GWjz供电公司供电可靠性数据管理办法》； （6）配网储备库项目清单。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""供电能力和可靠性有待提升"" 的整改措施是什么？",加大配网项目储备数量，积极推动大规模设备更新，加大老旧配变、线路、开关等改造力度，提升设备健康运行水平，保障相关问题及时解决。聚焦停电事件完整性、准确性，建立可靠性数据逐级审查机制，常态化开展数据核查工作，减少可靠性数据误差。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""供电能力和可靠性有待提升"" 的监管依据是什么？",电力监管机构对供电企业的供电质量实施监管《供电监管办法》第7条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""供电能力和可靠性有待提升"" 的问题描述是什么？",部分地区配网投资力度不足，电网网架结构薄弱，供电能力存在不足。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""信息公开不到位"" 的印证资料包括哪些？",（1）网上GWAPP信息公开专栏； （2）业扩报装和13项变更用电业务办理告知书； （3）销售电价及收费标准上墙：销售电价表、城乡居民一户一表收费标准、高可靠性供电费用收取标准； （4）可开放容量（含分布式光伏、用户接入）季度公示，注明时间、供电所盖章； （5）高压业扩业务办理告知书上全国建筑市场监管公共平台服务网站、信用能源网站等设计施工单位查询网址。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""信息公开不到位"" 的印证资料包括哪些？",（1）jz电网分布式光伏承载力评估报告（以季度为单位）； （2）分布式光伏可开放容量（以季度为单位）； （3）县公司季度10kV线路、台区可用容量、实际使用容量等公示佐证。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""信息公开不到位"" 的整改措施是什么？",落实《国家能源局关于印发〈供电企业信息公开实施办法〉的通知》（国能发监管规〔2021〕56 号）要求，按照《关于进一步加强供电营业厅运营管理和信息公开相关工作的通知》（营销电传【2025】77）信息公开清单，落实供电服务信息公开主体责任，通过网上GWAPP、95598 网站、营业厅等线上线下渠道做好信息发布、更新，定期开展现场检查。加强“三零”“三省”以及“三指定”等政策宣传，做好12398 与95598 供电服务热线同步、同对象公布到位，保障客户知情权。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""信息公开不到位"" 的整改措施是什么？",每季度最后一月配电部在配电云主站完成10千伏线路及台区分布式光伏可接入容量计算及审核25日前提交省公司。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""信息公开不到位"" 的监管依据是什么？",电力监管机构对供电企业信息公开的情况实施监管。未按照规定披露、公开、报送信息或披露虚假信息《供电监管办法》第22条,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""信息公开不到位"" 的监管依据是什么？",供电企业应当主动公开与人民群众利益相关的信息《电力企业信息公开实施办法》第7条、《供电监管办法》第37条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""信息公开不到位"" 的问题描述是什么？",供电企业对信息公开重要性认识不足，未严格执行《供电企业信息公开实施办法》相关要求，在供电营业厅、供电企业微信公众号、网上GW等信息公开渠道，公开业扩报装、电价、可开放性容量以及设计、施工单位查询网址等群众密切关注相关内容不完整、不正确。部分营业厅未公示供电服务承诺以及95598供电服务热线、12398能源监管热线等。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""信息公开不到位"" 的问题描述是什么？",供电企业对信息公开重要性认识不足，未严格执行《供电企业信息公开实施办法》相关要求，公开的信息内容不完整、不正确。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""停电信息公布不及时、不全面"" 的印证资料包括哪些？",（1）GWjz供电公司关于加强停送电信息报送管理的通知； （2）《供电服务日报》停电信息相关通报； （3）《服务管控周报》停电信息相关通报； （4）《双周供电服务情况通报》停电信息相关通报； （5）《供电服务指挥运营月报》停电信息相关通报； （6）《供电单位优质服务重点工作考核指标评分表》； （7）不规范停电信息发布的考核印证资料； （8）供电服务指挥系统查询停电信息相关信息； （9）组织开展停电信息管理的培训资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""停电信息公布不及时、不全面"" 的整改措施是什么？",依照《供电监管办法》要求，开展停电信息发布日常监管，严格规范停电信息停送电报送管理，对于监控发现的不规范事件严肃考核到位。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""停电信息公布不及时、不全面"" 的监管依据是什么？",监管依据：电力监管机构对供电企业实施停电、限电或者中止供电以及处理供电故障的的情况进行监管。《供电监管办法》第13条、第14条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""停电信息公布不及时、不全面"" 的问题描述是什么？",停电信息没有按规定时间提前公布，停电区域、停电线路、停电起止时间等信息不完整。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""充电设施接电服务标准存在差异"" 的印证资料包括哪些？",（1）《GW湖北省电力有限公司关于进一步明确居住区电动汽车充电设施报装接电管理要求的通知》（鄂电司营销〔2023〕8号)； （2）《GW湖北省电力有限公司关于印发湖北省电动自行车集中充电设施报装接电服务指南的通知》（鄂电司营销〔2024〕19号）； （3）《关于加快住宅小区电动汽车充电设施建设的通知》（荆建发〔2023〕7号）； （4）电动自行车充电设施报装台账； （5）电动汽车充电设施报装台账； （6）12398、95598充电设施报装投诉清单。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""充电设施接电服务标准存在差异"" 的整改措施是什么？",推动政府按（发改能源〔2016〕1611号）要求，优化充电设施用电报装服务机制，简化居民用户报装申请资料，居民小区电动汽车和电动自行车充电设施接电服务纳入“三零”服务政策。按照GW《关于进一步规范充电设施建设管理的通知》（营销市场〔2025〕105号）要求，在业扩报装中严格把关，通过营销业务系统开展合规性检查，对所有充电设施报装主体一视同仁，严禁区别对待。关注接入受限且长期未解决或无正当理由中止用户。促请政府主管部门组织对既有小区开展充电桩接入条件评估并公示，推行充电桩报装“以函代证”“一小区一证明”等便捷服务。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""充电设施接电服务标准存在差异"" 的监管依据是什么？",电力监管机构对供电企业办理用电业务的情况实施监管。《供电监管办法》第11条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""充电设施接电服务标准存在差异"" 的问题描述是什么？",电动汽车充电桩接入标准不统一；居民小区电动汽车和电动自行车充电设施接电服务欠缺，个人充电桩办电手续简化有待优化。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""分布式光伏接入服务不规范"" 的印证资料包括哪些？",（1）《国家电网有限公司关于印发<分布式光伏并网服务工作手册（试行）>的通知》（国家电网营销〔2025〕163号）； （2）《GW湖北省电力有限公司关于印发分布式光伏发电项目并网服务细则（试行）的通知》鄂电司营销〔2024〕26号； （3）《GWjz供电公司关于印发分布式光伏发电项目并网服务规范（试行）的通知》（鄂电司jz供营销〔2024〕24号）； （4）分布式光伏并网台账； （5）分布式光伏并网全过程资料。 二、发展部 （一）供电区域内供电能力不能及时满足用电需求 GWjz供电公司综合计划文件； 《GWjz供电公司“十四五”配电网规划报告》； 《GWjz供电公司“十五五”配电网规划报告》； 新建或改造可研批复文件； 新建、改造项目投产时间进度统计表； 新建（改建）220kV、110kV、35kV电压等级容载比值。 （二）电网公平开放接入服务方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""分布式光伏接入服务不规范"" 的整改措施是什么？",严格执行省公司相关文件要求，完善《GWjz供电公司分布式光伏发电项目并网服务规范》，优化工作流程、规范并网全过程管理，确保办理时限等满足国家要求。全面推进业务线上办理，依托电源接入线上服务平台办理流程，确保流程合规、时限合理；用好分布式光伏并网服务时限管控系统，实现“临期预警、超期督办”功能，提升全流程服务效率。加大监督考核力度，将各环节时限落实情况纳入关键业绩考核指标，促进业务管理水平提升。 超前谋划全要素保障，聚焦电网结构、供电能力、用户报装等需求，每年滚动调整电网规划方案，提出次年新开工项目建议，逐步提升电网供电能力和供电可靠性，避免出现“发展等电”问题。科学制定投产时序，推动重点电网项目纳入政府重大工程协调机制，履行公司决策程序并刚性执行，严格落实电网项目里程碑计划，按节点完成项目可研、核准、开工、投产等任务，及时满足供区经济和社会发展需求。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""分布式光伏接入服务不规范"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第18、第35条。 电力监管机构对供电企业的供电能力实施监管。《供电监管办法》第6条、第33条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""分布式光伏接入服务不规范"" 的问题描述是什么？",公平开放服务工作制度不完善；相关工作制度具体执行有偏差。在提供接网服务过程中违规增设前置条件，分布式光伏项目受理流程混乱，通过“体外循环”规避时限要求考核，流程办电超规定时限，以及存在违规增设接网条件，提高设计、验收门槛。 2024年以来供电企业电网项目建设滞后，供电能力不足，无法满足其供电区域内用电需求。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""办理便利度不够，办电信息记录不真实。"" 的印证资料包括哪些？",（1）《GW湖北省电力有限公司关于印发业扩报装“体外循环”问题专项治理工作方案的通知》（鄂电司办〔2025〕28号）； （2）《GWjz供电公司关于开展业扩报装基础管理提质强能行动的通知》（鄂电司jz供营销〔2025〕11号）； （3）《全面治理业扩报装“体外循环”问题积极构建长效机制实施方案》（鄂电司jz供〔2024〕7号）； （4）高低压用户终止清单及闭环资料； （5）12398、95598业扩报装投诉工单及闭环资料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""办理便利度不够，办电信息记录不真实。"" 的整改措施是什么？",严格执行《关于进一步规范业扩报装“白名单”管理和线上办电业务受理工作的通知》（营销营商〔2025〕110号）要求，取消预受理信息审核环节，刚性执行“获得电力”政策。严肃整治“体外循环”。落实省侧《关于印发业扩报装“体外循环”问题专项治理工作方案的通知》（鄂电司办〔2025〕28号）要求，执行《业扩项目“体外循环”管控（认定）规则》，强推《规范业扩报装关键环节作业票单填写及系统应用》，利用营销2.0、采集2.0 及营销现场作业平台管控功能，严格执行“接单即录入”“受办分离”，确保线上线下环节时间一致。强化供指系统业扩报装“透明化”管控，定期通报异常工单，将“体外循环”问题治理纳入各级业绩指标体系，对查实问题发现一起、通报一起、考核一起。加强业扩报装过程管控和日常监督，落实业扩流程时限考核。将业扩配套纳入供指平台，提升业扩报装管理质效。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""办理便利度不够，办电信息记录不真实。"" 的监管依据是什么？",电力监管机构对供电企业办理用电业务的情况实施监管。《供电监管办法》第11条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""办理便利度不够，办电信息记录不真实。"" 的问题描述是什么？",供电企业违规增设办电环节，未如实记录用电报装信息，业扩报装“体外循环”，民生用电服务保障不到位；部分供电企业压减办电时长不到位，导致用户报装环节超过规定时限。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""履行供电企业电力保供兜底服务能力不够"" 的印证资料包括哪些？",突发事件应急预案及演练记录； 应急发电车/机出车记录及维护保养台账； 抢险救灾保供电典型案例材料。 数字化部 （一）转嫁电网投资，收取不合理费用。 用户并网站点台账； 用户并网站点方式单。 六、调控中心责任分工 （一）民生用电服务方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""履行供电企业电力保供兜底服务能力不够"" 的整改措施是什么？",健全应急保供联动机制。加强与政府部门及防汛、消防等机构的沟通联动，全面修编完善迎峰度夏（冬）、防汛抗旱及重要节假日保供电应急预案。提升应急装备运维水平。建立应急发电车、发电机管理台账，落实“定期试机、定期保养”制度，优化应急电源布点，确保应急电源装备处于随时可用状态，确保故障“先复电、后抢修”。强化应急实战演练。针对自然灾害、突发公共事件等场景，常态化开展紧急供电实战演练，重点检验抢修队伍的快速集结能力和临时供电方案的执行效率。 制定通信通道运检费及运维费、自动化设备建设费等回购工作方案，对用户出资建设电网侧间隔的通信板卡及自动化设备建设费等站内设备，以正式函询相关业主，2026年做到“应回购、尽回购、合规回购”。对于后续新增的站内设备，由电网企业投资建设。组织全面排查、举一反三，明确不得向用户收取电力通信通道维护费，已与用户签订电力通信通道服务合同的，立即解除合同，停止收取相关费用。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""履行供电企业电力保供兜底服务能力不够"" 的监管依据是什么？",电力监管机构对供电企业履行紧急供电义务的情况实施监管。《供电监管办法》第15条、第34条。 电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条处罚。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""履行供电企业电力保供兜底服务能力不够"" 的问题描述是什么？",因抢险救灾、突发事件需要紧急供电时，部分单位未能及时提供电力供应。 部分单位将供电企业应承担的通讯设施等费用转嫁给用户或发电企业；违规向用户或发电企业收取通信通道维护费、杆塔租赁费等。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""并网服务管理不规范。"" 的印证资料包括哪些？",（1）接入方案审查规范标准 ①申请接入电网的常规电源、新能源、分布式电源和储能等各类项目的建设指标文件、核准（备案）文件； ②接入系统批复、电网接网协议等； ③接入系统审查意见单； 3供电企业公开信息不主动、不及时。 （1）按季度开展分布式电源接入电网承载力评估，全面评估辖区内35-220千伏设备承载能力相关佐证； （2）《分布式光伏可开放容量》（以季度为单位)。 三、运检部 （一）民生用电服务方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""并网服务管理不规范。"" 的整改措施是什么？",完善管理制度。落实《GW湖北省电力有限公司电源接入和电网互联前期工作管理实施细则》（鄂电司发展〔2025〕9 号）要求，规范并网意向受理环节需要项目业主提交的资料清单，杜绝要求项目业主提交自建函等材料；优化完善接入系统设计方案审批、接网协议签订等流程，确保办理时限等满足国家要求。全面推进业务线上办理，依托电源接入线上服务平台办理集中式新能源、新型储能和常规电源项目接网流程，确保流程合规、时限合理；利用分布式光伏并网服务时限管控系统，实现“临期预警、超期督办”功能，提升全流程服务效率。加大监督考核力度，将接网服务时限、接网协议签订等指标纳入关键业绩考核指标，促进业务管理水平提升。 落实《国家能源局关于印发〈供电企业信息公开实施办法〉的通知》（国能发监管规〔2021〕56 号）要求，严格执行《分布式电源接入电网承载力评估导则》（DL/T2041-2019）及相关要求，按季度开展承载力分析评估，形成评估报告，按时下发至各供电单位，以便接入专线用户查询上级变电站可开放情况。打造“一键发布”新模式，提升信息公开数字化、智能化水平，提高信息公开的一致性、及时性、准确性。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""并网服务管理不规范。"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场及办理用电业务的情况实施监管。《供电监管办法》第11条、第18条、第19条、第34条、第35条。 供电企业应当主动公开与人民群众利益相关的信息《电力企业信息公开实施办法》第7条、《供电监管办法》第37条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""并网服务管理不规范。"" 的问题描述是什么？",供电企业在接网过程中违规增设并网环节，执行接入流程不到位。电网企业擅自提高或降低并网标准，答复接入系统设计方案超时限，未与用户规范签订接网协议。 以变电站为单位测算电网承载力评估结果（包括新能源及用电负载）未按时间节点公布，或公开的制度、信息等不完整、不及时、不准确。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""并网管理不规范"" 的印证资料包括哪些？",（1）并网调度协议； （2）机组并网工作指南；（3）系统参数告知函及回执； （4）高压分布式光伏用户台账（安装AGC/AVC）； （5）电力业务许可证清单； （6）并网调度协议或电力业务许可证到期用户告知通知书。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""并网管理不规范"" 的整改措施是什么？",落实《GW湖北省电力有限公司电源接入和电网互联前期工作管理实施细则》（鄂电司发展〔2025〕9 号）要求，全面推进业务线上办理，依托电源接入线上服务平台办理集中式新能源、新型储能和常规电源项目接网流程，确保流程合规、时限合理。加强用户并网调度协议和电力业务许可证清单台账管理，加强与用户沟通联系，协议、许可证临近有效期时，提前一个月提醒用户修订、续签并网调度协议，办理新的电力业务许可证，将接网服务时限、并网调度协议签订等纳入关键业绩考核指标。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""并网管理不规范"" 的监管依据是什么？",电力监管机构对供电企业公平、无歧视开放供电市场的情况实施监管。《供电监管办法》第18条、第35条。《电网调度管理条例》第26条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""并网管理不规范"" 的问题描述是什么？",供电企业在接网过程中违规增设并网环节，执行接入流程不到位。电网企业擅自提高或降低并网标准，答复接入系统设计方案超时限，未与用户规范签订并网调度协议或接网协议。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""执行电价标准不规范，多收少收高可靠性费。"" 的印证资料包括哪些？",（1）《GWjz供电公司关于印发业扩报装业务工作规范要点的通知》（鄂电司jz供营销〔2025〕23号）； （2）《省发改委关于高可靠性供电收费有关事项的通知》（鄂发改价管看〔2025〕72号）； （3）《省发改委关于做好电网企业代理购电工作的通知》； （4）销户退费凭证；（5）双电源及高可靠性费收取明细清单； （6）高压双电源业扩报装资料； （7）一址多户清单；,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""执行电价标准不规范，多收少收高可靠性费。"" 的整改措施是什么？",加强电价政策的培训宣贯，制定电价执行指导手册，指导基层单位掌握电价执行标准。开展“大走访、大普查”活动，依据营销2.0系统核查电价执行情况，及时纠正执行偏差。加强长期零度户清理，对非正常零度户严格执行“销户+退费”。开展居民供用电合同清理，规范合同续签标准、日期、有效期及合同附件上传。核查营销2.0系统双电源、一址多户的高可靠性供电收费情况，严格执行《省发改委关于高可靠性供电收费有关事项的通知》（鄂发改价管〔2025〕72号）文件，做到应收尽收、应退尽退。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""执行电价标准不规范，多收少收高可靠性费。"" 的监管依据是什么？",电力监管机构对供电企业履行电力社会普遍服务义务及电价政策和收费标准的的情况实施监管。《供电监管办法》第10条、第19条、第34条、第36条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""执行电价标准不规范，多收少收高可靠性费。"" 的问题描述是什么？",在实行国家核准电价或者市场交易价向用户计收电费有偏差，部分单位存在电费中加收或者代收国家政策规定以外的其他费用；未严格执行销户即退费；对国家已经明令取缔的收费项目向用户收取费用；存在多收少收收高可靠性供电费；居民供用电合同签订和履行情况不到位。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""投诉举报宣传渠道不够畅通"" 的印证资料包括哪些？",（1）营业厅现场检查情况通报及整改报告（包含信息公开部分检查内容），对信息公示不规范、不清晰、不准确的情况，要求责任单位及时整改； （2）各供电站所、电力设施张贴的12398、95598等投诉举报热线照片； （3）95598知识库更新台账记录，确保业务办理、服务电话等信息及时更新。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""投诉举报宣传渠道不够畅通"" 的整改措施是什么？",通过“现场巡查+交叉互查”方式，联合营销部（农电部、乡村振兴办）对营业窗口电话公示情况进行核查，重点检查是否在营业窗口显著位置悬挂12398铭牌和95598标识，铭牌是否醒目、清晰，标识是否标准、规范。对公示不规范、不清晰的情况，要求责任单位及时整改到位。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""投诉举报宣传渠道不够畅通"" 的监管依据是什么？",电力监管机构对供电企业处理用电投诉的情况实施监管。《供电监管办法》第16条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""投诉举报宣传渠道不够畅通"" 的问题描述是什么？",部分供电营业厅12398铭牌老旧，字迹不清晰。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""政府委托工程及回购资金管理不规范"" 的印证资料包括哪些？",（1）《湖北省电力公司关于印发用户资产接收管理办法的通知》（鄂电司财〔2011〕40号）； （2）用户及新能源资产回购支付明细表； （3）红线外投资及代建政府项目收支明细表。 八、供电服务指挥中心 （一）民生用电服务方面,zhjgfa20260116V4 - 副本.docx,structured,印证资料
